UMAP1,UMAP2
-3.5636978,1.8447973
5.0476723,-3.9387722
5.7943506,-3.8770423
17.330212,3.6720662
12.273591,13.849705
14.26512,9.728298
4.053105,-7.4079103
10.127344,15.590252
16.188034,4.4486647
1.8738664,10.262111
12.425638,12.9511385
13.297579,2.149924
6.1804843,7.2921824
5.950769,5.8002214
1.8404288,7.5997505
11.226958,1.3588135
0.07614839,2.307934
-2.7180822,1.283098
2.6519933,-3.834086
10.050076,15.600412
0.96089655,7.78506
8.147549,14.904465
4.6218653,8.972741
1.986694,2.8243396
2.8546035,2.6752045
6.0671377,-3.0852108
12.26998,13.9983225
12.16524,5.219273
11.9523535,5.4629893
8.318919,-4.864214
11.703424,6.9577003
5.333256,-5.8687253
14.185606,4.3525295
1.9023647,-4.9695773
10.942958,9.698765
5.914965,5.3985934
0.4312826,3.8429625
4.0311494,4.3277254
3.6933315,10.263701
-5.0468636,7.033324
10.170645,15.66091
5.535372,-6.8804064
1.8673085,9.627497
15.467947,7.634751
5.723007,8.123846
13.655295,10.657542
0.86999035,3.244895
12.491066,15.482789
1.2496071,9.49992
12.470548,15.408291
-3.3060124,12.383706
12.216411,13.355216
4.625714,8.835436
15.605158,2.7922902
8.107025,14.761235
12.899684,4.966555
12.659262,5.9294906
14.05359,1.8137635
4.268029,12.101641
-1.1960176,12.890687
8.496494,-5.4810705
3.4398906,0.3557038
7.850415,15.633561
0.033490967,-4.8502197
13.787841,2.9608507
12.991441,10.335491
4.6054378,9.973645
4.256411,12.198147
7.3671026,-5.0133014
9.09183,15.586848
4.2135673,-7.0983553
14.200685,-0.16339509
15.428898,4.330694
12.471926,15.342443
2.9091308,0.42752466
8.608309,-5.604786
2.5192108,3.2624636
11.340904,10.840342
16.883823,3.3717883
0.54903525,7.665285
-2.2431953,2.1524053
5.693416,-3.9737325
0.7210582,7.810255
7.9566107,14.414264
17.119675,3.6041973
17.34698,3.631356
4.08971,-7.126253
3.7472172,1.3037477
0.6279578,7.7148185
-5.4223995,7.629025
2.8558578,-4.180148
3.6036172,0.6228434
0.33654508,9.99915
13.626145,10.596215
17.648174,3.559615
-2.1641543,2.14541
-4.650438,11.757487
3.5565507,-6.5436015
11.649477,16.121563
15.669518,7.033654
-1.6742489,12.732861
15.674133,7.016076
2.681471,1.3106834
12.029998,5.3843813
-3.5446653,1.798193
12.731602,9.66817
6.1195407,-3.0919383
-5.071258,7.0583773
16.451649,4.13623
7.5023303,-5.00132
1.3521268,8.012015
2.8449593,-3.9689941
-3.3729603,12.339854
2.3509293,-4.7360854
